Nom,Marque,Nutriscore,Category_Label,Energie,Sucre,Gras,Saturés,Sel,Fibres,Protéines,Fruits et Légumes
Haricots Verts Extra fins coupés,"Bio Village, Marque Repère",A,Légumineuses,26.0,0.8,0.2,0.0,0.8,2.8,1.6,85.4524627720504
Weiße Bohnen,Freshona,A,Légumineuses,82.0,0.3,0.6,0.3,0.68,5.4,5.5,85.2684717760441
Family Pack,Weetabix,A,Céréales,362.0,4.2,2.0,0.6,0.275,10.0,12.0,0.0
Lentilles Corail Top Chrono,Carrefour,A,Légumineuses,320.0,1.7,1.1,0.4,0.0,18.0,25.0,100.0
Kidneybohnen,"I. Schroeder,King's Crown,Smantry-User hör auf ständig Schwachsinn zu posten",A,Légumineuses,104.0,2.8,0.1,0.1,0.65,0.0,6.6,85.50164591384
CACAHUÈTES GRILLEES SALEES,CARREFOUR CLASSIC',A,Légumineuses,615.0,5.0,50.0,6.0,0.8,8.5,26.0,94.6
Flocons avoine,LIDL,A,Céréales,372.0,0.7,7.0,1.3,0.03,10.0,13.5,0.0
Haricots verts Vapeur 4/4,Bonduelle,A,Légumineuses,32.0,1.0,0.3,0.0,0.92,4.6,1.7,85.3357908075106
Flocons d'avoine,Bjorg,A,Céréales,362.0,1.7,7.1,1.3,0.02,11.0,11.0,0.0
Weetabix produit à base de blé complet 100%,Weetabix,A,Céréales,363.0,4.27,2.13,0.533,0.26,10.1,12.0,0.0
Pois chiches - 1/2,Saint eloi,A,Légumineuses,126.0,0.4,2.5,0.3,0.72,6.2,6.8,85.4786990380211
Wheat Bisks,Harvest Morn,A,Céréales,353.0,4.47,2.11,0.526,0.257,10.0,11.8,0.0
"Muesli Raisin, Figue, Abricot",Bjorg,A,Céréales,352.0,14.0,5.8,0.9,0.03,10.0,11.0,24.5
Ceci,"King’s Crown, Aldi",A,Légumineuses,120.0,0.4,2.0,0.4,0.29,7.0,6.5,85.6195133110291
Special Muesli 30% fruits & noix,Jordans,A,Céréales,362.0,17.0,7.2,2.0,0.03,8.8,10.0,30.0
Quaker Rolled Oats,Quaker,A,Céréales,368.0,1.0,8.5,1.75,0.00625,10.0,12.3,0.0
Reduced Sugar & Salt Baked Beans,Sainsbury's,A,Légumineuses,77.0,2.4,0.5,0.1,0.3,5.9,4.8,93.3514246947083
"Muesli SuperFruits Raisins, cassis,cranberry, myrtille",Bjorg,A,Céréales,358.0,13.0,6.0,0.9,0.04,10.0,11.0,21.8
Chickpeas,Asda,A,Légumineuses,148.0,0.7,3.0,0.3,0.0,7.1,8.4,80.0
Everyday essentials baked beans in tomato sauce,Everyday essentials,A,Légumineuses,81.0,4.6,0.5,0.1,0.56,3.0,3.7,88.8011840157869
Gourmandise de Pois à la provençale,Cassegrain,A,Légumineuses,70.0,6.1,1.8,0.3,0.78,2.7,2.6,97.384375
Flocons d'avoine complète,Quaker,A,Céréales,375.0,1.1,8.0,1.5,0.01,9.0,11.0,0.0
simply nutty muesli,dorset cereals,A,Céréales,376.0,14.2,6.8,1.1,0.03,8.6,9.9,26.66015625
Bitesize shredded wheat,Nestlé,A,Céréales,367.0,0.7,2.2,0.5,0.05,12.5,11.8,0.0
Wheat Biscuits,Tesco,A,Céréales,358.0,4.47,2.11,0.526,0.257,10.0,12.1,0.0
Super Seedy & Nutty Granola,Bio & Me,A,Céréales,402.0,9.6,14.4,2.2,0.03,14.4,10.9,38.1458333333333
Lentilles vertes,"Marque Repère,Notre Jardin,Scamark (Filiale E. Leclerc)",A,Légumineuses,0.0,2.0,1.1,0.2,0.0,23.0,26.0,100.0
Chickpeas,"Four Seasons, Aldi",A,Légumineuses,106.0,0.0,0.4,0.0,0.13,8.0,7.5,76.9230769230769
Muesli avoine chocolat bio,Bjorg,A,Céréales,390.0,8.7,9.6,3.8,0.1,10.0,12.0,0.0
Weetabix,Weetabix,A,Céréales,358.0,4.21,2.11,0.526,0.257,10.0,11.8,0.0
Fagots de Haricots verts 1/2,Cassegrain,A,Légumineuses,21.0,1.0,0.1,0.1,0.93,2.3,1.3,98.9683191819593
Beanz Barbecue imp,Heinz,A,Légumineuses,81.0,5.7,0.2,0.1,0.5,3.9,4.9,91.4826388888889
"Pois chiches, graines de courge & touche de romarin",Cassegrain,A,Légumineuses,134.0,1.3,1.9,0.3,0.56,4.4,8.9,86.4106394820869
Haricots verts extra fins bio,Freshona,A,Légumineuses,23.0,0.5,0.4,0.2,0.55,0.0,1.5,85.5344112176277
Pois cassés,Carrefour,A,Légumineuses,335.0,3.9,1.0,0.1,0.02,13.0,20.0,100.0
Petits pois extra fins Carottes d'aucy 265g,D'aucy,A,Légumineuses,58.0,3.0,0.0,0.0,0.5,4.3,4.0,84.393063583815
Petits pois - très fins,Freshona,A,Légumineuses,82.0,3.0,1.1,0.3,0.5,7.4,6.0,84.5598845598846
Pois Chiches,"Marque Repère, Notre Jardin",A,Légumineuses,123.0,0.6,2.0,0.4,0.425,6.0,7.0,85.5753414860902
Cooked lentils and chickpeas (Jardin Bio),"Jardin bio, Léa Nature",A,Légumineuses,137.0,1.7,5.2,0.7,0.59,7.4,6.9,89.4348404255319
Cacahuètes - Grillées & Salées,"Marque Repère, Tokapi",A,Légumineuses,617.0,4.5,51.0,5.8,0.8,8.8,26.0,94.0
Pois Chiches,"Marque Repère, Notre Jardin",A,Légumineuses,123.0,0.6,2.0,0.4,0.425,6.0,7.0,85.5753414860902
Lentilles vertes,"Carrefour BIO, Carrefour",A,Légumineuses,333.0,1.0,1.7,0.2,0.01,11.0,24.0,100.0
Cooked lentils and chickpeas (Jardin Bio),"Jardin bio, Léa Nature",A,Légumineuses,137.0,1.7,5.2,0.7,0.59,7.4,6.9,89.4348404255319
Haricots verts extra-fins,Carrefour,A,Légumineuses,18.0,1.4,0.0,0.0,0.5,2.3,1.4,85.6031573528571
Chickpeas,Freshona,A,Légumineuses,125.0,0.5,2.4,0.3,0.02,5.6,6.4,80.0
Butter Beans,Biona Organic,A,Légumineuses,93.0,1.2,0.6,0.1,0.2,7.1,7.4,100.0
Guisantes extra,Hacendado,A,Légumineuses,59.0,4.2,0.2,0.0,0.8,0.0,4.0,84.0579710144928
Biona Organic Baked Beans Classic,Biona Organic,A,Légumineuses,92.0,5.9,0.5,0.1,0.77,4.8,4.6,93.9597315436242
Haricots verts Extra-fins,Carrefour,A,Légumineuses,26.0,0.5,0.5,0.1,0.62,2.4,1.4,85.5114774743832
Pois cassés,"Marque Repère, Notre Jardin",A,Légumineuses,345.0,2.8,1.4,0.2,0.05,16.0,23.0,100.0
